code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,late_submissions_in_module,avg_score_in_module,sum_clicks_in_module,avg_clicks_per_session,num_active_days
AAA,2014J,6516,M,Scotland,HE Qualification,80-90%,55<=,0,60,N,Pass,0.0,51.5,2791.0,17.55,159.0
AAA,2014J,24734,F,South Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,4.0,39.0,499.0,8.91,56.0
AAA,2014J,26192,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction,0.0,71.83,2223.0,18.84,118.0
AAA,2014J,28061,M,Yorkshire Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,1.0,64.67,1590.0,10.74,148.0
AAA,2014J,31600,F,South West Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,3.0,45.67,429.0,22.58,19.0
AAA,2014J,46844,M,North Region,HE Qualification,30-40%,35-55,0,60,N,Pass,0.0,54.0,340.0,7.39,46.0
AAA,2014J,52765,F,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,120,N,Pass,1.0,52.5,4938.0,25.99,190.0
AAA,2014J,55104,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,2.0,59.17,1480.0,19.73,75.0
AAA,2014J,58071,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,4.0,63.33,3648.0,24.48,149.0
AAA,2014J,58316,F,Wales,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,1.0,61.17,1295.0,12.7,102.0
AAA,2014J,62487,F,East Midlands Region,A Level or Equivalent,10-20%,0-35,0,60,N,Pass,2.0,59.67,683.0,12.65,54.0
AAA,2014J,63165,M,South East Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,3.0,42.83,912.0,10.48,87.0
AAA,2014J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,N,Fail,0.0,22.33,5.0,2.5,2.0
AAA,2014J,70011,F,Scotland,HE Qualification,40-50%,0-35,0,60,N,Pass,0.0,66.83,6396.0,28.18,227.0
AAA,2014J,75255,M,North Western Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,2.0,68.17,950.0,12.03,79.0
AAA,2014J,79403,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Withdrawn,2.0,30.33,1782.0,23.45,76.0
AAA,2014J,85092,F,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,1.0,38.67,665.0,20.78,32.0
AAA,2014J,85144,M,Scotland,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,0.0,64.67,656.0,8.75,75.0
AAA,2014J,85302,M,London Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,2.0,59.33,2280.0,17.95,127.0
AAA,2014J,87431,M,South East Region,Lower Than A Level,10-20%,35-55,0,60,N,Withdrawn,3.0,25.0,802.0,27.66,29.0
AAA,2014J,94961,M,South Region,Lower Than A Level,70-80%,35-55,1,60,N,Pass,1.0,53.0,901.0,11.55,78.0
AAA,2014J,95755,M,South East Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn,2.0,15.0,381.0,8.86,43.0
AAA,2014J,101116,F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,1.0,68.83,1769.0,14.04,126.0
AAA,2014J,107489,F,London Region,HE Qualification,20-30%,0-35,0,60,N,Pass,2.0,68.33,3722.0,20.23,184.0
