code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,late_submissions_in_module,avg_score_in_module,sum_clicks_in_module,avg_clicks_per_session,num_active_days
BBB,2014B,25997,F,London Region,A Level or Equivalent,20-30%,0-35,2,60,N,Withdrawn,2.0,14.42,13.0,13.0,1.0
BBB,2014B,27891,M,Scotland,Lower Than A Level,0-10%,0-35,4,120,Y,Fail,0.0,34.58,47.0,15.67,3.0
BBB,2014B,50069,F,Scotland,A Level or Equivalent,30-40%,0-35,0,90,N,Fail,4.0,42.42,531.0,18.96,28.0
BBB,2014B,52426,F,Scotland,Lower Than A Level,70-80%,35-55,1,60,N,Fail,2.0,30.42,68.0,13.6,5.0
BBB,2014B,55968,F,Wales,Lower Than A Level,10-20%,0-35,0,120,N,Fail,4.0,33.67,578.0,12.3,47.0
BBB,2014B,59725,F,Wales,HE Qualification,40-50%,35-55,0,120,N,Distinction,5.0,75.75,859.0,12.1,71.0
BBB,2014B,60416,F,East Anglian Region,Lower Than A Level,60-70%,0-35,1,60,N,Pass,5.0,76.25,4983.0,23.18,215.0
BBB,2014B,60830,F,South Region,HE Qualification,60-70%,0-35,0,120,N,Pass,5.0,68.42,1365.0,16.85,81.0
BBB,2014B,63721,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,Y,Distinction,6.0,70.0,771.0,11.51,67.0
BBB,2014B,64275,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,60,Y,Pass,5.0,62.58,199.0,9.05,22.0
BBB,2014B,72400,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,120,Y,Distinction,9.0,77.75,420.0,11.67,36.0
BBB,2014B,78255,F,North Region,Lower Than A Level,0-10%,0-35,2,120,N,Fail,2.0,19.92,130.0,6.5,20.0
BBB,2014B,88340,F,Wales,Lower Than A Level,30-40%,0-35,0,60,Y,Withdrawn,2.0,25.33,187.0,8.13,23.0
BBB,2014B,89092,F,Wales,Lower Than A Level,50-60%,0-35,2,60,N,Pass,5.0,57.33,183.0,7.96,23.0
BBB,2014B,89778,M,South East Region,A Level or Equivalent,70-80%,0-35,1,120,N,Distinction,5.0,84.58,141.0,11.75,12.0
BBB,2014B,90361,F,Wales,HE Qualification,20-30%,35-55,0,60,N,Pass,7.0,63.92,183.0,9.63,19.0
BBB,2014B,92341,F,North Western Region,Lower Than A Level,40-50%,0-35,2,60,N,Fail,2.0,33.75,957.0,17.72,54.0
BBB,2014B,97006,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,1,60,N,Pass,5.0,67.33,189.0,11.12,17.0
BBB,2014B,97865,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,3,60,N,Withdrawn,2.0,32.08,91.0,7.0,13.0
BBB,2014B,99799,F,East Midlands Region,A Level or Equivalent,10-20%,0-35,1,120,N,Pass,6.0,63.25,553.0,10.63,52.0
BBB,2014B,103535,F,South West Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,6.0,78.58,381.0,12.7,30.0
BBB,2014B,107713,F,East Anglian Region,Lower Than A Level,40-50%,0-35,2,150,N,Withdrawn,3.0,24.83,111.0,7.4,15.0
BBB,2014B,108799,F,Scotland,Post Graduate Qualification,90-100%,35-55,0,75,N,Distinction,5.0,81.5,472.0,11.24,42.0
BBB,2014B,115452,F,East Anglian Region,Lower Than A Level,30-40%,0-35,1,120,N,Fail,7.0,68.42,590.0,8.55,69.0
BBB,2014B,117699,F,South Region,A Level or Equivalent,40-50%,0-35,0,120,N,Distinction,5.0,79.83,473.0,8.3,57.0
BBB,2014B,119471,F,East Midlands Region,Lower Than A Level,0-10%,35-55,1,120,N,Fail,6.0,61.75,592.0,7.89,75.0
BBB,2014B,123270,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,Fail,1.0,21.83,145.0,9.67,15.0
BBB,2014B,123462,M,Scotland,HE Qualification,80-90%,0-35,1,120,N,Pass,5.0,70.5,1001.0,16.68,60.0
BBB,2014B,125055,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,Y,Pass,7.0,62.0,863.0,15.69,55.0
BBB,2014B,126608,M,Wales,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,8.0,56.08,443.0,13.42,33.0
BBB,2014B,126713,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,5.0,62.92,291.0,5.49,53.0
BBB,2014B,130013,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Pass,5.0,71.0,252.0,10.08,25.0
BBB,2014B,132972,F,London Region,Lower Than A Level,20-30%,0-35,0,240,N,Pass,6.0,59.08,176.0,10.35,17.0
BBB,2014B,139250,F,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Distinction,5.0,84.83,518.0,8.78,59.0
BBB,2014B,140719,F,London Region,HE Qualification,20-30%,0-35,1,240,N,Fail,8.0,57.5,260.0,8.12,32.0
BBB,2014B,148427,F,South East Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,7.0,68.83,421.0,6.38,66.0
BBB,2014B,155631,F,South Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,5.0,80.75,1258.0,22.87,55.0
BBB,2014B,157276,F,North Western Region,A Level or Equivalent,80-90%,35-55,0,60,N,Distinction,6.0,75.25,3132.0,25.46,123.0
BBB,2014B,159293,M,South East Region,A Level or Equivalent,20-30%,0-35,0,120,N,Distinction,5.0,79.58,799.0,7.07,113.0
BBB,2014B,165904,F,South Region,A Level or Equivalent,30-40%,0-35,1,120,N,Distinction,5.0,85.42,963.0,9.83,98.0
BBB,2014B,171751,F,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,5.0,74.67,320.0,7.62,42.0
BBB,2014B,172137,F,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,6.0,69.08,2095.0,19.4,108.0
BBB,2014B,183287,F,Wales,Lower Than A Level,40-50%,0-35,0,90,Y,Withdrawn,1.0,14.75,162.0,16.2,10.0
BBB,2014B,185021,F,East Anglian Region,Lower Than A Level,80-90%,0-35,1,60,N,Pass,3.0,46.17,101.0,10.1,10.0
BBB,2014B,186565,F,East Midlands Region,A Level or Equivalent,10-20%,0-35,1,120,N,Fail,1.0,17.17,609.0,16.92,36.0
BBB,2014B,187257,F,South Region,HE Qualification,50-60%,35-55,0,60,N,Pass,6.0,67.42,315.0,7.33,43.0
BBB,2014B,187601,F,South West Region,A Level or Equivalent,80-90%,35-55,0,135,N,Pass,6.0,69.75,1964.0,23.95,82.0
BBB,2014B,189035,F,East Midlands Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,7.0,67.83,934.0,8.81,106.0
BBB,2014B,190352,F,North Region,No Formal quals,10-20%,0-35,0,60,N,Fail,5.0,57.33,234.0,6.16,38.0
BBB,2014B,190565,F,Wales,Lower Than A Level,20-30%,35-55,0,60,Y,Pass,10.0,72.42,262.0,7.08,37.0
BBB,2014B,201431,F,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Pass,5.0,73.67,317.0,8.34,38.0
BBB,2014B,202394,F,Wales,A Level or Equivalent,40-50%,0-35,0,60,N,Distinction,7.0,79.33,1184.0,13.3,89.0
BBB,2014B,206003,F,South East Region,A Level or Equivalent,40-50%,35-55,0,60,N,Distinction,5.0,81.75,1064.0,19.35,55.0
BBB,2014B,226747,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Distinction,5.0,80.33,616.0,14.67,42.0
BBB,2014B,228481,F,London Region,A Level or Equivalent,80-90%,0-35,0,90,N,Pass,8.0,56.33,1003.0,12.23,82.0
BBB,2014B,228784,F,Ireland,Lower Than A Level,10-20%,0-35,3,120,N,Pass,7.0,74.25,594.0,7.52,79.0
BBB,2014B,228824,F,Wales,HE Qualification,20-30%,0-35,0,120,N,Pass,5.0,61.42,803.0,14.34,56.0
BBB,2014B,231959,F,North Region,Lower Than A Level,20-30%,35-55,2,180,N,Fail,1.0,36.83,156.0,19.5,8.0
BBB,2014B,232539,F,South East Region,Lower Than A Level,20-30%,0-35,0,60,N,Distinction,7.0,79.25,672.0,12.0,56.0
BBB,2014B,233095,F,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,6.0,64.0,195.0,10.26,19.0
BBB,2014B,233102,F,South East Region,Lower Than A Level,30-40%,0-35,1,240,N,Pass,5.0,72.58,782.0,8.89,88.0
BBB,2014B,235380,F,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,5.0,37.67,370.0,16.09,23.0
BBB,2014B,235428,M,London Region,Lower Than A Level,20-30%,35-55,1,150,N,Fail,8.0,50.42,561.0,19.34,29.0
BBB,2014B,236161,F,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,5.0,74.58,746.0,12.64,59.0
BBB,2014B,238519,M,South Region,Lower Than A Level,40-50%,0-35,0,120,N,Withdrawn,4.0,36.08,303.0,6.31,48.0
BBB,2014B,242390,F,London Region,Lower Than A Level,10-20%,0-35,1,60,N,Fail,3.0,26.67,137.0,5.96,23.0
BBB,2014B,244064,F,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,5.0,77.83,658.0,12.19,54.0
BBB,2014B,247292,F,Wales,Lower Than A Level,40-50%,35-55,0,60,N,Pass,6.0,58.67,2338.0,15.8,148.0
BBB,2014B,247513,F,East Midlands Region,HE Qualification,40-50%,35-55,0,60,N,Pass,5.0,78.33,648.0,11.37,57.0
BBB,2014B,250123,F,South Region,Lower Than A Level,0-10%,0-35,0,120,Y,Distinction,5.0,78.42,170.0,4.59,37.0
BBB,2014B,252652,F,London Region,A Level or Equivalent,50-60%,35-55,2,120,N,Pass,4.0,70.75,241.0,10.95,22.0
BBB,2014B,260955,F,Yorkshire Region,Lower Than A Level,10-20%,35-55,0,120,N,Fail,8.0,23.42,456.0,9.7,47.0
BBB,2014B,264106,F,South Region,Lower Than A Level,90-100%,35-55,0,120,N,Pass,4.0,55.08,155.0,9.69,16.0
BBB,2014B,265958,F,North Western Region,Lower Than A Level,10-20%,0-35,4,180,N,Fail,3.0,36.08,120.0,9.23,13.0
BBB,2014B,266744,F,South West Region,A Level or Equivalent,30-40%,0-35,1,240,N,Withdrawn,1.0,30.67,35.0,5.83,6.0
BBB,2014B,268301,M,Scotland,HE Qualification,60-70%,35-55,0,75,N,Distinction,5.0,81.83,956.0,13.86,69.0
BBB,2014B,271467,F,South West Region,A Level or Equivalent,20-30%,35-55,0,150,N,Fail,5.0,33.42,156.0,11.14,14.0
BBB,2014B,275006,F,London Region,Lower Than A Level,20-30%,0-35,1,120,N,Withdrawn,1.0,18.0,251.0,10.04,25.0
BBB,2014B,275112,F,Wales,No Formal quals,0-10%,35-55,3,120,N,Fail,5.0,7.92,527.0,18.17,29.0
BBB,2014B,282713,F,London Region,HE Qualification,0-10%,35-55,0,60,N,Pass,5.0,64.25,652.0,10.52,62.0
BBB,2014B,283131,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,4.0,56.83,386.0,11.35,34.0
BBB,2014B,283564,F,East Anglian Region,Lower Than A Level,10-20%,0-35,0,60,N,Fail,5.0,47.58,534.0,9.21,58.0
BBB,2014B,283978,F,South West Region,A Level or Equivalent,20-30%,35-55,5,150,Y,Fail,3.0,20.0,42.0,10.5,4.0
BBB,2014B,285567,F,South West Region,Lower Than A Level,40-50%,35-55,0,90,N,Pass,5.0,78.33,3064.0,23.57,130.0
BBB,2014B,286914,F,South Region,HE Qualification,40-50%,35-55,0,60,N,Pass,7.0,65.83,505.0,10.74,47.0
BBB,2014B,288967,M,South East Region,Lower Than A Level,20-30%,35-55,0,60,N,Pass,4.0,65.58,689.0,7.49,92.0
BBB,2014B,289108,F,Wales,A Level or Equivalent,30-40%,35-55,1,60,N,Pass,7.0,60.92,1834.0,21.58,85.0
BBB,2014B,290914,M,North Region,A Level or Equivalent,0-10%,0-35,2,120,Y,Distinction,2.0,74.58,146.0,7.3,20.0
BBB,2014B,291844,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,120,N,Pass,6.0,49.75,722.0,11.84,61.0
BBB,2014B,291848,F,Wales,HE Qualification,30-40%,35-55,3,120,N,Fail,0.0,15.5,134.0,9.57,14.0
BBB,2014B,293992,F,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,7.0,59.5,451.0,10.25,44.0
BBB,2014B,294513,F,Wales,HE Qualification,80-90%,0-35,0,60,N,Distinction,5.0,75.42,1925.0,16.89,114.0
BBB,2014B,295728,F,Wales,Lower Than A Level,20-30%,0-35,2,120,N,Fail,5.0,36.58,296.0,10.21,29.0
BBB,2014B,296232,F,South West Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,5.0,65.92,620.0,11.07,56.0
BBB,2014B,297179,F,North Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn,2.0,20.67,828.0,31.85,26.0
BBB,2014B,304607,F,South Region,A Level or Equivalent,70-80%,35-55,0,60,N,Fail,3.0,34.5,238.0,4.33,55.0
BBB,2014B,305373,F,London Region,Lower Than A Level,0-10%,0-35,0,150,Y,Fail,7.0,51.0,320.0,10.0,32.0
BBB,2014B,307386,F,Ireland,HE Qualification,50-60%,0-35,2,180,N,Pass,7.0,54.92,230.0,6.97,33.0
BBB,2014B,308345,F,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,60,N,Fail,0.0,13.17,479.0,22.81,21.0
BBB,2014B,311599,F,London Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,6.0,83.0,331.0,7.7,43.0
BBB,2014B,311889,F,Wales,HE Qualification,10-20%,35-55,0,60,N,Fail,5.0,57.5,266.0,14.78,18.0
BBB,2014B,313246,F,South West Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,4.0,34.08,183.0,8.32,22.0
BBB,2014B,318500,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,8.0,63.0,492.0,11.71,42.0
BBB,2014B,318876,F,London Region,A Level or Equivalent,40-50%,35-55,0,150,N,Pass,6.0,80.5,657.0,13.41,49.0
BBB,2014B,319606,F,Ireland,A Level or Equivalent,30-40%,0-35,3,60,N,Fail,5.0,69.67,191.0,12.73,15.0
BBB,2014B,320363,F,South Region,Lower Than A Level,20-30%,35-55,0,60,N,Fail,6.0,55.58,150.0,18.75,8.0
BBB,2014B,321121,F,West Midlands Region,Lower Than A Level,40-50%,0-35,1,120,N,Pass,5.0,76.92,339.0,9.97,34.0
BBB,2014B,321346,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,120,Y,Pass,7.0,77.0,596.0,16.11,37.0
BBB,2014B,322325,M,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,4.0,25.25,211.0,6.59,32.0
