code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,late_submissions_in_module,avg_score_in_module,sum_clicks_in_module,avg_clicks_per_session,num_active_days
BBB,2014J,26315,F,East Anglian Region,Lower Than A Level,60-70%,35-55,1,60,N,Pass,0.0,42.83,2451.0,26.93,91.0
BBB,2014J,26734,M,South West Region,A Level or Equivalent,20-30%,0-35,0,90,Y,Fail,2.0,37.17,210.0,7.24,29.0
BBB,2014J,32327,F,South West Region,Lower Than A Level,20-30%,0-35,2,60,N,Withdrawn,0.0,10.33,699.0,23.3,30.0
BBB,2014J,32930,F,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,2.0,37.5,438.0,33.69,13.0
BBB,2014J,34662,F,South West Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn,0.0,11.5,218.0,8.38,26.0
BBB,2014J,38711,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,Y,Withdrawn,2.0,25.83,169.0,12.07,14.0
BBB,2014J,39208,F,Wales,A Level or Equivalent,90-100%,35-55,0,120,N,Pass,0.0,64.5,2067.0,12.92,160.0
BBB,2014J,41547,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,0.0,51.33,1007.0,16.51,61.0
BBB,2014J,47891,F,Wales,Lower Than A Level,10-20%,0-35,4,60,N,Fail,1.0,32.83,118.0,8.43,14.0
BBB,2014J,57285,F,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,0.0,45.17,283.0,31.44,9.0
BBB,2014J,58653,F,North Western Region,Lower Than A Level,80-90%,35-55,1,120,N,Pass,1.0,46.0,383.0,9.57,40.0
BBB,2014J,59272,F,South East Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,0.0,44.17,1425.0,18.75,76.0
BBB,2014J,61352,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,2,60,N,Withdrawn,0.0,16.67,181.0,12.07,15.0
BBB,2014J,63467,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,0.0,52.17,712.0,24.55,29.0
BBB,2014J,70569,F,Wales,Lower Than A Level,0-10%,0-35,3,60,N,Pass,0.0,46.5,947.0,16.91,56.0
BBB,2014J,71504,F,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,120,N,Pass,0.0,69.83,1049.0,17.78,59.0
BBB,2014J,73584,F,South West Region,Lower Than A Level,30-40%,0-35,1,60,N,Withdrawn,0.0,9.33,243.0,20.25,12.0
BBB,2014J,73874,F,Wales,Lower Than A Level,90-100%,35-55,2,60,N,Withdrawn,0.0,42.17,931.0,27.38,34.0
BBB,2014J,84541,F,North Region,A Level or Equivalent,10-20%,0-35,0,120,N,Fail,1.0,11.33,179.0,16.27,11.0
BBB,2014J,89850,F,South Region,HE Qualification,90-100%,0-35,0,120,N,Distinction,0.0,55.33,1227.0,19.79,62.0
BBB,2014J,98452,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,Y,Withdrawn,0.0,16.67,35.0,7.0,5.0
BBB,2014J,98842,F,South Region,Lower Than A Level,10-20%,0-35,0,60,N,Pass,0.0,49.5,368.0,26.29,14.0
BBB,2014J,99088,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,2,60,N,Withdrawn,0.0,14.83,359.0,21.12,17.0
BBB,2014J,102067,F,North Western Region,A Level or Equivalent,10-20%,0-35,1,120,N,Withdrawn,0.0,16.67,67.0,7.44,9.0
BBB,2014J,103496,F,Ireland,Lower Than A Level,10-20%,35-55,0,60,N,Pass,0.0,52.67,1221.0,20.69,59.0
BBB,2014J,106095,F,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,0.0,49.67,1243.0,27.62,45.0
BBB,2014J,106793,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Fail,1.0,48.17,404.0,14.96,27.0
BBB,2014J,108859,M,South West Region,A Level or Equivalent,70-80%,0-35,0,60,Y,Pass,0.0,46.17,1996.0,15.72,127.0
BBB,2014J,109441,F,South East Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,0.0,58.33,678.0,15.07,45.0
BBB,2014J,110911,F,Scotland,Lower Than A Level,80-90%,0-35,0,60,N,Pass,0.0,64.0,520.0,15.76,33.0
BBB,2014J,114402,F,South East Region,Lower Than A Level,50-60%,0-35,0,90,Y,Distinction,0.0,73.0,1123.0,16.04,70.0
BBB,2014J,116606,M,East Midlands Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,0.0,48.33,511.0,12.46,41.0
BBB,2014J,117544,F,South West Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,0.0,58.5,2580.0,18.97,136.0
BBB,2014J,117545,F,Wales,Lower Than A Level,10-20%,0-35,4,120,N,Fail,2.0,30.33,442.0,31.57,14.0
BBB,2014J,118213,F,London Region,HE Qualification,20-30%,35-55,0,60,N,Fail,0.0,25.5,21.0,5.25,4.0
BBB,2014J,119444,F,East Midlands Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn,1.0,0.17,83.0,7.55,11.0
BBB,2014J,123087,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,0.0,61.67,470.0,13.06,36.0
BBB,2014J,125535,F,Scotland,A Level or Equivalent,30-40%,35-55,2,120,N,Pass,2.0,31.83,196.0,7.0,28.0
BBB,2014J,126769,F,West Midlands Region,Lower Than A Level,0-10%,0-35,1,60,N,Pass,1.0,50.0,1362.0,16.02,85.0
BBB,2014J,126800,F,East Midlands Region,A Level or Equivalent,60-70%,35-55,0,120,N,Pass,0.0,56.67,1501.0,17.66,85.0
BBB,2014J,132924,F,South West Region,Lower Than A Level,10-20%,35-55,0,60,N,Fail,0.0,26.17,21.0,4.2,5.0
BBB,2014J,138407,F,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Withdrawn,2.0,24.83,942.0,20.93,45.0
