code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,late_submissions_in_module,avg_score_in_module,sum_clicks_in_module,avg_clicks_per_session,num_active_days
CCC,2014B,28418,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,30,N,Fail,2.0,6.3,328.0,14.91,22.0
CCC,2014B,29764,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,90,N,Distinction,5.0,80.4,2867.0,32.21,89.0
CCC,2014B,29820,M,East Anglian Region,HE Qualification,40-50%,0-35,0,60,N,Pass,5.0,72.2,1027.0,14.46,71.0
CCC,2014B,40604,M,Ireland,A Level or Equivalent,nan%,35-55,0,30,N,Pass,3.0,47.8,465.0,8.77,53.0
CCC,2014B,42638,M,Scotland,HE Qualification,90-100%,35-55,0,60,N,Pass,4.0,61.8,5659.0,29.32,193.0
CCC,2014B,45664,M,Yorkshire Region,HE Qualification,60-70%,0-35,0,60,N,Withdrawn,3.0,9.5,397.0,13.69,29.0
CCC,2014B,46605,M,East Anglian Region,HE Qualification,60-70%,35-55,0,60,N,Distinction,4.0,84.2,3427.0,16.48,208.0
CCC,2014B,49119,M,Ireland,HE Qualification,nan%,0-35,0,90,N,Distinction,5.0,79.2,2014.0,19.37,104.0
CCC,2014B,50263,M,West Midlands Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,2.0,8.6,425.0,13.71,31.0
CCC,2014B,51576,F,London Region,Lower Than A Level,10-20%,0-35,0,90,N,Withdrawn,1.0,14.2,371.0,16.86,22.0
CCC,2014B,54391,M,South West Region,Lower Than A Level,10-20%,0-35,0,60,N,Withdrawn,2.0,8.9,179.0,22.38,8.0
CCC,2014B,57340,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,4.0,35.1,1090.0,20.19,54.0
CCC,2014B,59541,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,30,Y,Withdrawn,1.0,4.0,441.0,44.1,10.0
CCC,2014B,62278,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,40,N,Fail,3.0,37.3,1037.0,13.13,79.0
CCC,2014B,64296,M,Scotland,HE Qualification,20-30%,0-35,0,60,N,Fail,1.0,15.2,633.0,26.38,24.0
CCC,2014B,66254,F,Ireland,A Level or Equivalent,nan%,0-35,0,30,N,Fail,3.0,43.3,2149.0,26.86,80.0
CCC,2014B,69494,F,Yorkshire Region,No Formal quals,20-30%,0-35,0,80,N,Withdrawn,1.0,0.0,601.0,17.68,34.0
CCC,2014B,69703,M,Yorkshire Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass,4.0,67.1,695.0,9.79,71.0
CCC,2014B,70381,M,Scotland,HE Qualification,30-40%,35-55,0,30,N,Pass,4.0,67.8,755.0,11.1,68.0
CCC,2014B,70771,M,Scotland,HE Qualification,40-50%,0-35,0,60,N,Withdrawn,1.0,5.0,181.0,30.17,6.0
CCC,2014B,74290,M,Scotland,Lower Than A Level,10-20%,0-35,0,60,N,Withdrawn,1.0,1.0,224.0,13.18,17.0
CCC,2014B,75454,M,South West Region,A Level or Equivalent,80-90%,0-35,0,120,N,Pass,5.0,64.5,4465.0,34.61,129.0
CCC,2014B,75728,F,South West Region,HE Qualification,30-40%,35-55,0,30,N,Fail,2.0,13.7,1868.0,26.69,70.0
CCC,2014B,79461,M,Scotland,A Level or Equivalent,70-80%,0-35,0,90,N,Withdrawn,5.0,23.6,810.0,17.61,46.0
CCC,2014B,80329,M,South Region,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn,1.0,6.0,172.0,8.19,21.0
CCC,2014B,82575,M,West Midlands Region,HE Qualification,80-90%,0-35,0,30,N,Distinction,4.0,84.3,658.0,15.3,43.0
CCC,2014B,83219,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,4.0,60.8,1055.0,14.86,71.0
CCC,2014B,83453,M,West Midlands Region,HE Qualification,40-50%,35-55,0,30,N,Withdrawn,1.0,3.0,382.0,29.38,13.0
CCC,2014B,84299,M,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,Withdrawn,3.0,25.5,759.0,12.24,62.0
CCC,2014B,86047,F,Wales,HE Qualification,20-30%,0-35,0,30,N,Withdrawn,2.0,4.8,175.0,15.91,11.0
CCC,2014B,94484,M,West Midlands Region,Lower Than A Level,20-30%,35-55,0,120,Y,Pass,4.0,42.8,2275.0,29.17,78.0
CCC,2014B,95906,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,5.0,83.9,1721.0,23.58,73.0
CCC,2014B,96538,M,North Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,2.0,10.8,182.0,15.17,12.0
CCC,2014B,105523,M,Scotland,HE Qualification,60-70%,35-55,0,90,N,Pass,4.0,31.4,1201.0,11.55,104.0
CCC,2014B,107028,M,East Midlands Region,Lower Than A Level,10-20%,0-35,0,90,N,Withdrawn,1.0,12.4,85.0,9.44,9.0
CCC,2014B,107339,F,Scotland,HE Qualification,10-20%,0-35,0,60,N,Pass,5.0,63.9,2383.0,20.19,118.0
CCC,2014B,108834,M,West Midlands Region,A Level or Equivalent,10-20%,0-35,0,90,N,Withdrawn,3.0,25.2,290.0,10.74,27.0
CCC,2014B,116518,M,London Region,HE Qualification,30-40%,0-35,0,80,N,Pass,4.0,64.0,942.0,16.24,58.0
CCC,2014B,117232,M,Ireland,A Level or Equivalent,20-30%,0-35,0,90,N,Pass,5.0,61.5,1099.0,10.18,108.0
CCC,2014B,118098,M,East Midlands Region,HE Qualification,60-70%,0-35,0,30,N,Fail,4.0,31.7,537.0,29.83,18.0
CCC,2014B,119729,M,East Anglian Region,HE Qualification,90-100%,35-55,0,30,N,Withdrawn,1.0,1.0,573.0,21.22,27.0
CCC,2014B,122392,M,London Region,A Level or Equivalent,10-20%,35-55,0,60,N,Pass,4.0,27.0,809.0,12.26,66.0
CCC,2014B,123598,M,Scotland,A Level or Equivalent,50-60%,0-35,0,90,Y,Withdrawn,3.0,20.5,546.0,15.17,36.0
CCC,2014B,124193,M,East Anglian Region,HE Qualification,40-50%,35-55,0,30,N,Distinction,4.0,86.2,945.0,11.39,83.0
CCC,2014B,126337,M,West Midlands Region,Lower Than A Level,20-30%,0-35,0,75,N,Withdrawn,1.0,9.2,729.0,31.7,23.0
CCC,2014B,126394,M,Wales,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,5.0,77.2,1898.0,20.63,92.0
CCC,2014B,126395,M,London Region,A Level or Equivalent,20-30%,0-35,0,30,Y,Pass,3.0,34.3,1549.0,20.12,77.0
CCC,2014B,128510,F,Scotland,Lower Than A Level,50-60%,0-35,0,180,N,Withdrawn,1.0,16.0,413.0,11.8,35.0
CCC,2014B,129198,F,North Western Region,HE Qualification,20-30%,35-55,0,150,Y,Withdrawn,1.0,4.4,1496.0,38.36,39.0
CCC,2014B,129638,F,London Region,Lower Than A Level,30-40%,35-55,0,30,N,Withdrawn,2.0,6.6,921.0,19.6,47.0
CCC,2014B,129878,M,East Midlands Region,Lower Than A Level,40-50%,35-55,0,45,N,Fail,2.0,5.9,251.0,11.41,22.0
CCC,2014B,131145,M,South West Region,A Level or Equivalent,40-50%,0-35,0,90,N,Distinction,4.0,75.6,4894.0,23.87,205.0
CCC,2014B,131933,M,Scotland,Post Graduate Qualification,60-70%,35-55,0,30,N,Withdrawn,2.0,33.5,823.0,21.66,38.0
CCC,2014B,133104,M,London Region,Lower Than A Level,10-20%,0-35,0,120,Y,Distinction,5.0,79.1,1469.0,17.91,82.0
CCC,2014B,134025,M,London Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,3.0,37.4,836.0,14.67,57.0
CCC,2014B,135330,M,Scotland,HE Qualification,90-100%,35-55,0,60,N,Fail,1.0,10.4,242.0,12.1,20.0
CCC,2014B,135792,M,South West Region,Lower Than A Level,50-60%,0-35,0,60,N,Fail,3.0,21.3,728.0,18.2,40.0
CCC,2014B,142935,F,London Region,Lower Than A Level,10-20%,35-55,0,60,N,Pass,4.0,35.9,6160.0,36.24,170.0
