code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,late_submissions_in_module,avg_score_in_module,sum_clicks_in_module,avg_clicks_per_session,num_active_days
CCC,2014J,23698,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,4.0,67.0,910.0,13.0,70.0
CCC,2014J,25261,F,Scotland,HE Qualification,40-50%,0-35,0,60,N,Withdrawn,1.0,7.8,997.0,25.56,39.0
CCC,2014J,27116,M,Yorkshire Region,HE Qualification,70-80%,0-35,0,120,N,Distinction,4.0,84.0,1847.0,14.66,126.0
CCC,2014J,28787,M,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,4.0,26.8,645.0,10.93,59.0
CCC,2014J,28952,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,1.0,11.9,105.0,8.75,12.0
CCC,2014J,29411,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,150,N,Withdrawn,2.0,1.4,329.0,17.32,19.0
CCC,2014J,29420,M,Wales,A Level or Equivalent,70-80%,0-35,0,30,N,Pass,6.0,60.2,816.0,16.65,49.0
CCC,2014J,29639,M,North Region,Lower Than A Level,nan%,0-35,0,30,N,Pass,4.0,75.4,6986.0,28.51,245.0
CCC,2014J,30096,M,East Anglian Region,HE Qualification,90-100%,0-35,0,60,N,Distinction,4.0,84.2,714.0,13.22,54.0
CCC,2014J,30850,F,Scotland,HE Qualification,60-70%,35-55,0,120,N,Distinction,4.0,89.4,2258.0,17.37,130.0
CCC,2014J,31161,M,South Region,Post Graduate Qualification,90-100%,55<=,0,105,N,Distinction,4.0,87.2,2932.0,15.85,185.0
CCC,2014J,34068,M,Scotland,Lower Than A Level,50-60%,0-35,0,30,N,Withdrawn,3.0,22.0,613.0,11.15,55.0
CCC,2014J,35355,M,Wales,Lower Than A Level,0-10%,35-55,0,30,N,Withdrawn,3.0,34.3,1116.0,17.44,64.0
CCC,2014J,35508,M,South West Region,A Level or Equivalent,90-100%,0-35,0,30,N,Pass,4.0,40.9,1142.0,16.55,69.0
CCC,2014J,37652,F,London Region,HE Qualification,20-30%,35-55,0,50,N,Distinction,4.0,49.0,885.0,16.39,54.0
CCC,2014J,42746,F,South Region,HE Qualification,50-60%,35-55,0,60,N,Distinction,4.0,86.3,2403.0,16.92,142.0
CCC,2014J,46705,M,Ireland,HE Qualification,nan%,35-55,0,60,N,Fail,6.0,58.6,1149.0,15.74,73.0
CCC,2014J,48635,M,South Region,HE Qualification,90-100%,0-35,0,120,N,Withdrawn,1.0,7.8,592.0,28.19,21.0
CCC,2014J,51576,F,London Region,Lower Than A Level,10-20%,0-35,1,60,N,Withdrawn,1.0,18.5,428.0,23.78,18.0
CCC,2014J,53300,M,West Midlands Region,A Level or Equivalent,90-100%,0-35,0,270,N,Distinction,4.0,81.8,1957.0,15.78,124.0
CCC,2014J,54062,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,2.0,17.1,147.0,11.31,13.0
CCC,2014J,60809,M,South East Region,Lower Than A Level,90-100%,0-35,0,120,N,Pass,4.0,77.1,2519.0,24.94,101.0
CCC,2014J,61227,F,East Anglian Region,Lower Than A Level,80-90%,0-35,0,30,Y,Pass,4.0,27.3,4642.0,36.27,128.0
CCC,2014J,61236,M,South West Region,HE Qualification,50-60%,35-55,0,110,N,Withdrawn,1.0,5.6,506.0,8.88,57.0
CCC,2014J,63371,M,Ireland,Lower Than A Level,nan%,0-35,0,30,N,Pass,4.0,71.0,3344.0,23.06,145.0
CCC,2014J,69494,F,Yorkshire Region,No Formal quals,20-30%,0-35,1,150,N,Withdrawn,4.0,6.2,1448.0,18.56,78.0
CCC,2014J,70214,M,Wales,Lower Than A Level,70-80%,0-35,0,90,N,Withdrawn,1.0,3.3,369.0,20.5,18.0
CCC,2014J,70495,M,Scotland,Lower Than A Level,50-60%,0-35,0,60,N,Pass,4.0,80.3,1979.0,17.51,113.0
