code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,late_submissions_in_module,avg_score_in_module,sum_clicks_in_module,avg_clicks_per_session,num_active_days
DDD,2013J,8462,M,London Region,HE Qualification,30-40%,55<=,0,90,N,Withdrawn,1.0,37.57,646.0,11.54,56.0
DDD,2013J,27417,M,South West Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,4.0,23.43,410.0,13.67,30.0
DDD,2013J,27935,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,Y,Fail,2.0,43.0,813.0,15.06,54.0
DDD,2013J,28046,F,Yorkshire Region,HE Qualification,10-20%,35-55,0,70,N,Fail,1.0,49.43,661.0,12.96,51.0
DDD,2013J,29411,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,1.0,74.14,841.0,10.92,77.0
DDD,2013J,30549,M,South East Region,A Level or Equivalent,0-10%,35-55,2,60,N,Fail,0.0,5.0,137.0,6.52,21.0
DDD,2013J,31173,M,North Western Region,A Level or Equivalent,40-50%,35-55,1,60,N,Fail,0.0,50.14,858.0,15.05,57.0
DDD,2013J,33387,M,Scotland,HE Qualification,10-20%,0-35,1,120,N,Withdrawn,0.0,25.29,248.0,11.27,22.0
DDD,2013J,33681,M,South East Region,A Level or Equivalent,50-60%,35-55,2,60,Y,Withdrawn,1.0,32.86,434.0,18.08,24.0
DDD,2013J,33897,M,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Withdrawn,0.0,7.14,322.0,64.4,5.0
DDD,2013J,33930,F,South West Region,A Level or Equivalent,20-30%,0-35,0,90,N,Pass,0.0,69.71,544.0,7.56,72.0
DDD,2013J,34087,M,South East Region,A Level or Equivalent,60-70%,35-55,0,60,Y,Withdrawn,2.0,36.29,294.0,8.17,36.0
DDD,2013J,34653,M,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,0.0,21.0,213.0,10.65,20.0
DDD,2013J,39411,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,0.0,10.0,164.0,10.93,15.0
DDD,2013J,39427,F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,0.0,12.0,93.0,6.64,14.0
DDD,2013J,40184,M,Wales,HE Qualification,30-40%,55<=,0,60,N,Distinction,0.0,93.71,1876.0,12.59,149.0
DDD,2013J,40419,M,East Midlands Region,Lower Than A Level,20-30%,35-55,1,60,N,Pass,0.0,71.57,560.0,16.97,33.0
DDD,2013J,40563,F,South East Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,0.0,71.14,584.0,9.73,60.0
DDD,2013J,42818,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,Y,Fail,0.0,5.57,200.0,10.0,20.0
DDD,2013J,47063,M,London Region,HE Qualification,40-50%,35-55,0,120,N,Withdrawn,2.0,28.14,137.0,4.72,29.0
DDD,2013J,48152,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,2.0,44.71,528.0,13.2,40.0
DDD,2013J,50610,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,1,70,Y,Fail,0.0,37.43,13.0,3.25,4.0
DDD,2013J,51163,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,0.0,70.86,1167.0,14.77,79.0
DDD,2013J,57227,F,North Western Region,Lower Than A Level,60-70%,0-35,1,160,N,Pass,0.0,67.71,1425.0,10.71,133.0
DDD,2013J,57818,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,0.0,91.57,3037.0,20.25,150.0
DDD,2013J,59275,M,Scotland,HE Qualification,40-50%,0-35,0,60,N,Fail,0.0,30.0,522.0,18.64,28.0
