code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,late_submissions_in_module,avg_score_in_module,sum_clicks_in_module,avg_clicks_per_session,num_active_days
DDD,2014B,24213,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,1,60,N,Pass,5.0,76.29,1992.0,16.88,118.0
DDD,2014B,31269,F,East Midlands Region,A Level or Equivalent,30-40%,35-55,1,120,N,Withdrawn,0.0,16.0,559.0,17.47,32.0
DDD,2014B,35502,M,West Midlands Region,HE Qualification,30-40%,0-35,0,60,N,Withdrawn,0.0,9.43,545.0,17.03,32.0
DDD,2014B,39660,F,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,Fail,1.0,36.86,630.0,8.51,74.0
DDD,2014B,46753,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,2.0,50.14,1779.0,20.69,86.0
DDD,2014B,49119,M,Ireland,HE Qualification,nan%,0-35,0,90,N,Withdrawn,2.0,20.29,254.0,9.07,28.0
DDD,2014B,50476,F,South West Region,HE Qualification,0-10%,0-35,0,60,N,Distinction,0.0,75.14,568.0,17.21,33.0
DDD,2014B,51030,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,0.0,68.86,804.0,13.18,61.0
DDD,2014B,53632,M,Wales,Lower Than A Level,90-100%,0-35,1,60,N,Withdrawn,1.0,49.14,510.0,15.0,34.0
DDD,2014B,54810,M,South Region,HE Qualification,40-50%,0-35,0,60,N,Withdrawn,0.0,24.57,260.0,10.83,24.0
DDD,2014B,58617,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,2.0,34.86,834.0,18.53,45.0
DDD,2014B,61911,M,Wales,Lower Than A Level,50-60%,0-35,0,180,N,Fail,2.0,35.71,448.0,9.74,46.0
DDD,2014B,64450,M,West Midlands Region,Lower Than A Level,30-40%,0-35,1,120,N,Pass,4.0,45.71,3327.0,21.75,153.0
DDD,2014B,64767,M,East Anglian Region,A Level or Equivalent,30-40%,35-55,0,60,N,Withdrawn,1.0,40.0,206.0,7.36,28.0
DDD,2014B,67781,F,South Region,A Level or Equivalent,20-30%,0-35,0,60,N,Distinction,1.0,75.29,1771.0,13.62,130.0
DDD,2014B,71723,M,North Western Region,A Level or Equivalent,10-20%,0-35,0,60,N,Fail,2.0,19.57,251.0,8.96,28.0
DDD,2014B,76081,F,East Midlands Region,Lower Than A Level,60-70%,0-35,0,150,Y,Withdrawn,1.0,29.86,1048.0,14.56,72.0
DDD,2014B,84576,M,Wales,HE Qualification,30-40%,35-55,0,150,N,Distinction,1.0,63.14,2126.0,18.65,114.0
DDD,2014B,84605,M,North Region,A Level or Equivalent,nan%,35-55,1,120,N,Pass,0.0,60.29,388.0,14.92,26.0
DDD,2014B,88490,M,Scotland,Post Graduate Qualification,90-100%,35-55,0,60,N,Distinction,0.0,92.14,953.0,12.38,77.0
DDD,2014B,88910,F,North Western Region,Lower Than A Level,10-20%,0-35,1,180,N,Pass,3.0,52.43,576.0,9.6,60.0
DDD,2014B,89904,M,Wales,Lower Than A Level,30-40%,35-55,0,60,N,Pass,0.0,81.0,609.0,6.69,91.0
DDD,2014B,90537,F,Scotland,A Level or Equivalent,90-100%,0-35,0,60,Y,Pass,0.0,66.14,810.0,13.97,58.0
DDD,2014B,95356,F,Scotland,HE Qualification,20-30%,0-35,1,240,N,Withdrawn,1.0,9.0,76.0,3.45,22.0
DDD,2014B,97939,M,Scotland,A Level or Equivalent,40-50%,0-35,0,60,Y,Fail,0.0,9.86,98.0,8.91,11.0
DDD,2014B,99151,M,London Region,Lower Than A Level,40-50%,0-35,0,120,N,Fail,0.0,6.57,397.0,36.09,11.0
DDD,2014B,111959,M,South Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,1.0,32.57,431.0,10.78,40.0
DDD,2014B,116763,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,1,120,N,Withdrawn,0.0,11.29,115.0,14.38,8.0
DDD,2014B,117281,M,South Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,0.0,82.86,1427.0,15.68,91.0
DDD,2014B,118479,M,Ireland,A Level or Equivalent,nan%,0-35,0,60,N,Pass,1.0,83.86,3463.0,23.56,147.0
DDD,2014B,124134,F,London Region,HE Qualification,20-30%,0-35,1,60,Y,Fail,0.0,55.0,1146.0,11.13,103.0
DDD,2014B,127580,F,South Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,0.0,66.29,3002.0,18.08,166.0
DDD,2014B,128348,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,1.0,15.0,493.0,13.69,36.0
DDD,2014B,131695,F,East Midlands Region,Lower Than A Level,0-10%,0-35,1,120,N,Withdrawn,0.0,6.57,223.0,9.7,23.0
DDD,2014B,137150,M,South East Region,Lower Than A Level,20-30%,0-35,0,60,Y,Withdrawn,1.0,9.71,151.0,12.58,12.0
DDD,2014B,138204,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,0.0,11.43,182.0,10.11,18.0
DDD,2014B,138416,M,North Region,Lower Than A Level,10-20%,0-35,0,60,N,Pass,3.0,73.29,977.0,11.91,82.0
DDD,2014B,138704,M,South West Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,2.0,74.14,1298.0,18.81,69.0
DDD,2014B,141497,M,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Fail,0.0,9.57,491.0,22.32,22.0
DDD,2014B,144908,M,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,0.0,12.0,342.0,11.4,30.0
DDD,2014B,145114,F,South West Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,0.0,51.29,1111.0,22.67,49.0
DDD,2014B,145640,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Distinction,0.0,88.86,1070.0,10.39,103.0
DDD,2014B,145770,M,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,60,N,Withdrawn,0.0,5.86,42.0,10.5,4.0
DDD,2014B,152320,M,South Region,A Level or Equivalent,80-90%,0-35,0,60,Y,Withdrawn,0.0,46.14,1829.0,17.42,105.0
DDD,2014B,154697,F,South West Region,A Level or Equivalent,80-90%,35-55,4,80,Y,Withdrawn,1.0,3.43,71.0,8.88,8.0
DDD,2014B,165178,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,1,120,N,Fail,0.0,45.71,357.0,8.5,42.0
DDD,2014B,178258,F,West Midlands Region,HE Qualification,10-20%,35-55,0,270,N,Withdrawn,0.0,57.57,1671.0,14.79,113.0
DDD,2014B,183331,M,Ireland,Lower Than A Level,0-10%,0-35,0,90,N,Fail,3.0,30.57,1207.0,14.37,84.0
