code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,late_submissions_in_module,avg_score_in_module,sum_clicks_in_module,avg_clicks_per_session,num_active_days
EEE,2014B,25150,M,North Western Region,HE Qualification,90-100%,0-35,0,60,N,Pass,0.0,67.4,2103.0,17.24,122.0
EEE,2014B,27780,M,Wales,A Level or Equivalent,10-20%,0-35,0,150,N,Pass,0.0,36.0,553.0,13.49,41.0
EEE,2014B,29639,M,North Region,Lower Than A Level,nan%,0-35,0,30,N,Pass,0.0,67.0,3517.0,16.59,212.0
EEE,2014B,29820,M,East Anglian Region,HE Qualification,40-50%,0-35,0,60,N,Pass,0.0,65.2,1475.0,13.92,106.0
EEE,2014B,35340,M,South Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,0.0,63.8,1812.0,18.3,99.0
EEE,2014B,35508,M,South West Region,A Level or Equivalent,90-100%,0-35,0,30,N,Distinction,0.0,74.8,2270.0,21.42,106.0
EEE,2014B,64296,M,Scotland,HE Qualification,20-30%,0-35,0,60,N,Fail,0.0,38.8,606.0,27.55,22.0
EEE,2014B,70537,M,London Region,Lower Than A Level,10-20%,35-55,0,120,N,Pass,0.0,64.6,2434.0,20.45,119.0
EEE,2014B,83219,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,0.0,68.4,2340.0,21.67,108.0
EEE,2014B,128971,M,East Midlands Region,HE Qualification,80-90%,0-35,0,30,N,Pass,0.0,67.6,1982.0,20.43,97.0
EEE,2014B,135330,M,Scotland,HE Qualification,90-100%,35-55,0,60,N,Fail,0.0,17.6,583.0,24.29,24.0
EEE,2014B,144745,F,London Region,HE Qualification,20-30%,0-35,0,30,Y,Pass,0.0,69.8,1782.0,18.37,97.0
EEE,2014B,148282,M,North Western Region,HE Qualification,80-90%,0-35,0,30,N,Fail,0.0,9.2,197.0,9.38,21.0
EEE,2014B,156594,M,South Region,Post Graduate Qualification,90-100%,55<=,0,30,N,Pass,1.0,64.2,2094.0,24.35,86.0
EEE,2014B,158831,M,London Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,0.0,62.2,981.0,14.64,67.0
EEE,2014B,165376,F,London Region,A Level or Equivalent,60-70%,0-35,0,120,N,Pass,1.0,40.4,911.0,26.79,34.0
EEE,2014B,167791,M,North Western Region,A Level or Equivalent,20-30%,35-55,0,60,N,Distinction,1.0,71.0,1225.0,17.01,72.0
EEE,2014B,170936,M,North Western Region,HE Qualification,10-20%,35-55,0,60,N,Pass,3.0,39.4,339.0,17.84,19.0
EEE,2014B,171334,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Withdrawn,0.0,19.4,380.0,29.23,13.0
EEE,2014B,182400,M,North Region,HE Qualification,nan%,35-55,0,30,N,Fail,1.0,31.4,1523.0,17.51,87.0
EEE,2014B,185057,M,Ireland,HE Qualification,nan%,0-35,0,30,N,Pass,1.0,62.0,3542.0,22.85,155.0
EEE,2014B,186476,M,North Western Region,A Level or Equivalent,90-100%,0-35,0,30,N,Pass,3.0,65.4,1009.0,14.21,71.0
EEE,2014B,188260,M,Wales,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,0.0,63.2,918.0,15.05,61.0
EEE,2014B,188662,M,Scotland,HE Qualification,80-90%,0-35,0,30,N,Pass,1.0,69.4,1818.0,28.41,64.0
EEE,2014B,193163,M,Scotland,HE Qualification,70-80%,35-55,0,90,N,Fail,2.0,50.2,857.0,20.9,41.0
EEE,2014B,197730,M,Scotland,HE Qualification,90-100%,35-55,1,100,N,Pass,1.0,50.0,1035.0,15.45,67.0
EEE,2014B,198902,M,London Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,1.0,13.2,386.0,13.79,28.0
EEE,2014B,231019,M,South West Region,Lower Than A Level,50-60%,0-35,0,30,N,Fail,0.0,18.6,708.0,24.41,29.0
EEE,2014B,231339,F,Scotland,Post Graduate Qualification,80-90%,0-35,0,60,N,Distinction,1.0,73.2,2213.0,26.04,85.0
EEE,2014B,234559,M,Scotland,HE Qualification,60-70%,35-55,0,60,N,Pass,3.0,51.6,932.0,19.02,49.0
EEE,2014B,237934,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Fail,0.0,10.2,57.0,7.12,8.0
EEE,2014B,244166,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,30,N,Fail,1.0,43.8,837.0,19.02,44.0
EEE,2014B,244977,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction,1.0,74.4,1754.0,21.13,83.0
EEE,2014B,247819,M,South East Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,0.0,70.2,2328.0,22.38,104.0
EEE,2014B,248818,M,South West Region,Lower Than A Level,60-70%,0-35,0,30,N,Pass,0.0,74.2,1018.0,12.57,81.0
EEE,2014B,256867,M,Yorkshire Region,A Level or Equivalent,80-90%,35-55,0,30,N,Distinction,2.0,69.8,1913.0,24.53,78.0
EEE,2014B,266040,M,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,0.0,14.2,358.0,17.05,21.0
EEE,2014B,267961,M,Scotland,Lower Than A Level,90-100%,0-35,1,60,N,Fail,0.0,36.2,1056.0,22.96,46.0
EEE,2014B,274218,M,London Region,Lower Than A Level,40-50%,0-35,0,40,N,Pass,1.0,70.8,1498.0,19.71,76.0
EEE,2014B,278786,M,Scotland,Lower Than A Level,40-50%,35-55,1,135,N,Fail,3.0,54.4,692.0,20.35,34.0
EEE,2014B,285170,M,London Region,A Level or Equivalent,10-20%,35-55,0,60,N,Pass,3.0,50.6,1862.0,24.18,77.0
EEE,2014B,289397,M,South East Region,A Level or Equivalent,60-70%,0-35,0,60,Y,Pass,1.0,49.0,412.0,16.48,25.0
EEE,2014B,291674,F,West Midlands Region,A Level or Equivalent,10-20%,0-35,1,60,N,Distinction,0.0,76.6,1989.0,25.5,78.0
EEE,2014B,293686,M,South West Region,A Level or Equivalent,30-40%,0-35,0,30,N,Distinction,0.0,77.0,3516.0,22.11,159.0
EEE,2014B,308391,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,0.0,10.4,240.0,24.0,10.0
EEE,2014B,324257,M,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,3.0,43.6,1406.0,18.26,77.0
EEE,2014B,329455,M,London Region,Post Graduate Qualification,20-30%,35-55,0,30,N,Distinction,1.0,71.2,2954.0,22.55,131.0
EEE,2014B,335355,M,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,0.0,64.8,975.0,17.11,57.0
EEE,2014B,338854,M,Wales,HE Qualification,40-50%,35-55,0,150,N,Pass,0.0,50.8,2022.0,19.82,102.0
EEE,2014B,342957,M,Scotland,Lower Than A Level,80-90%,0-35,0,60,N,Pass,0.0,69.8,951.0,22.64,42.0
EEE,2014B,353368,M,North Western Region,A Level or Equivalent,10-20%,0-35,1,60,N,Fail,2.0,48.2,444.0,29.6,15.0
EEE,2014B,353953,M,South East Region,A Level or Equivalent,90-100%,0-35,0,30,N,Pass,0.0,69.0,664.0,18.44,36.0
EEE,2014B,359460,F,South East Region,A Level or Equivalent,60-70%,0-35,0,90,Y,Withdrawn,0.0,15.8,580.0,20.0,29.0
