code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,late_submissions_in_module,avg_score_in_module,sum_clicks_in_module,avg_clicks_per_session,num_active_days
EEE,2014J,47061,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,30,N,Pass,2.0,56.4,347.0,17.35,20.0
EEE,2014J,60809,M,South East Region,Lower Than A Level,90-100%,0-35,0,120,N,Pass,0.0,69.8,2422.0,15.93,152.0
EEE,2014J,62034,M,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,0.0,47.6,1889.0,17.82,106.0
EEE,2014J,67539,M,Ireland,Lower Than A Level,10-20%,0-35,0,60,N,Pass,0.0,52.8,1438.0,15.63,92.0
EEE,2014J,67685,M,South Region,A Level or Equivalent,10-20%,0-35,0,180,N,Pass,0.0,64.8,2304.0,13.55,170.0
EEE,2014J,70827,M,East Midlands Region,HE Qualification,30-40%,0-35,0,210,N,Withdrawn,1.0,12.4,269.0,14.94,18.0
EEE,2014J,76579,F,Yorkshire Region,HE Qualification,10-20%,0-35,1,120,N,Pass,2.0,34.8,1458.0,20.25,72.0
EEE,2014J,80358,M,Scotland,Lower Than A Level,60-70%,0-35,0,120,N,Pass,2.0,37.4,1502.0,15.98,94.0
EEE,2014J,89545,M,South Region,HE Qualification,90-100%,0-35,0,30,N,Pass,0.0,67.2,595.0,18.59,32.0
EEE,2014J,108281,M,Scotland,HE Qualification,10-20%,35-55,0,30,N,Pass,0.0,72.4,3797.0,24.82,153.0
EEE,2014J,108497,M,South West Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,0.0,61.4,2208.0,16.6,133.0
EEE,2014J,110789,F,East Midlands Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,2.0,45.0,1084.0,30.11,36.0
EEE,2014J,121163,M,London Region,Lower Than A Level,10-20%,0-35,0,30,N,Withdrawn,0.0,18.0,449.0,14.03,32.0
