code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,late_submissions_in_module,avg_score_in_module,sum_clicks_in_module,avg_clicks_per_session,num_active_days
FFF,2014B,26211,F,London Region,HE Qualification,20-30%,35-55,0,90,N,Pass,0.0,82.38,15205.0,61.31,248.0
FFF,2014B,27189,F,South Region,Lower Than A Level,10-20%,35-55,0,120,N,Fail,1.0,48.0,2638.0,49.77,53.0
FFF,2014B,27683,M,London Region,HE Qualification,30-40%,0-35,0,60,N,Pass,2.0,75.77,2129.0,42.58,50.0
FFF,2014B,28808,F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Fail,0.0,10.77,232.0,12.89,18.0
FFF,2014B,28897,M,South West Region,A Level or Equivalent,10-20%,0-35,0,120,N,Distinction,2.0,65.85,3367.0,24.94,135.0
FFF,2014B,30531,M,East Anglian Region,Lower Than A Level,50-60%,0-35,1,180,N,Fail,1.0,26.85,1548.0,28.67,54.0
FFF,2014B,34293,M,West Midlands Region,Lower Than A Level,60-70%,0-35,0,60,Y,Withdrawn,0.0,11.38,921.0,25.58,36.0
FFF,2014B,36347,M,North Western Region,Lower Than A Level,10-20%,0-35,0,120,N,Pass,0.0,57.08,2161.0,20.39,106.0
FFF,2014B,39882,F,Scotland,A Level or Equivalent,80-90%,0-35,1,120,N,Pass,1.0,66.38,1761.0,40.02,44.0
FFF,2014B,42746,F,South Region,HE Qualification,50-60%,35-55,0,60,N,Distinction,0.0,86.38,8270.0,44.46,186.0
FFF,2014B,46148,M,North Western Region,A Level or Equivalent,10-20%,35-55,0,60,N,Pass,0.0,78.23,3724.0,30.28,123.0
FFF,2014B,48635,M,South Region,HE Qualification,90-100%,0-35,0,60,N,Pass,0.0,80.46,4406.0,28.06,157.0
FFF,2014B,53136,F,London Region,A Level or Equivalent,30-40%,0-35,1,120,N,Pass,0.0,68.85,3493.0,31.47,111.0
FFF,2014B,53709,M,Wales,A Level or Equivalent,30-40%,0-35,1,60,N,Pass,1.0,72.23,1175.0,34.56,34.0
FFF,2014B,54867,F,South West Region,Lower Than A Level,20-30%,0-35,0,120,N,Fail,0.0,5.69,604.0,33.56,18.0
FFF,2014B,67986,F,Scotland,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn,0.0,12.08,660.0,20.62,32.0
FFF,2014B,72114,M,North Region,A Level or Equivalent,40-50%,0-35,1,120,Y,Pass,1.0,74.38,4300.0,31.39,137.0
FFF,2014B,74521,M,North Region,HE Qualification,0-10%,35-55,0,120,N,Pass,1.0,65.46,1297.0,28.2,46.0
FFF,2014B,74524,F,East Midlands Region,Lower Than A Level,70-80%,35-55,0,120,Y,Fail,1.0,6.62,96.0,13.71,7.0
FFF,2014B,77845,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,0.0,31.54,472.0,24.84,19.0
FFF,2014B,77998,M,Ireland,Lower Than A Level,nan%,35-55,2,90,N,Pass,0.0,64.31,794.0,25.61,31.0
FFF,2014B,79683,M,Wales,A Level or Equivalent,30-40%,0-35,0,60,Y,Withdrawn,0.0,8.77,431.0,18.74,23.0
FFF,2014B,82201,F,London Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn,2.0,10.0,589.0,24.54,24.0
FFF,2014B,83603,M,London Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,4.0,72.08,2935.0,24.46,120.0
FFF,2014B,84299,M,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,1.0,79.08,1227.0,15.94,77.0
FFF,2014B,85874,F,Scotland,HE Qualification,40-50%,35-55,0,60,N,Withdrawn,0.0,22.77,1853.0,50.08,37.0
FFF,2014B,99670,F,North Western Region,Lower Than A Level,0-10%,0-35,0,90,N,Fail,1.0,56.46,2109.0,30.13,70.0
FFF,2014B,101634,M,Yorkshire Region,No Formal quals,0-10%,0-35,0,90,N,Fail,0.0,12.92,380.0,25.33,15.0
FFF,2014B,104316,M,London Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,1.0,37.15,928.0,17.51,53.0
FFF,2014B,108207,M,South Region,No Formal quals,50-60%,0-35,0,120,N,Pass,5.0,63.38,3260.0,25.27,129.0
FFF,2014B,108822,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Distinction,0.0,84.46,7427.0,47.01,158.0
FFF,2014B,108949,M,North Western Region,Lower Than A Level,10-20%,0-35,1,120,N,Withdrawn,0.0,12.62,452.0,13.29,34.0
