code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,late_submissions_in_module,avg_score_in_module,sum_clicks_in_module,avg_clicks_per_session,num_active_days
FFF,2014J,31296,M,East Midlands Region,Lower Than A Level,30-40%,0-35,1,60,N,Fail,10.0,61.0,1280.0,29.77,43.0
FFF,2014J,35747,M,North Western Region,A Level or Equivalent,0-10%,35-55,0,120,N,Withdrawn,0.0,4.15,653.0,31.1,21.0
FFF,2014J,35796,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,0.0,6.31,602.0,19.42,31.0
FFF,2014J,40857,F,North Western Region,A Level or Equivalent,30-40%,0-35,0,120,Y,Withdrawn,0.0,6.62,304.0,16.0,19.0
FFF,2014J,40878,M,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,Distinction,0.0,83.62,2455.0,27.9,88.0
FFF,2014J,42552,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,90,N,Pass,0.0,65.54,5079.0,36.8,138.0
FFF,2014J,43958,M,Wales,A Level or Equivalent,90-100%,35-55,1,60,N,Fail,0.0,41.62,1098.0,15.91,69.0
FFF,2014J,45423,M,South West Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,4.0,58.46,4383.0,54.79,80.0
FFF,2014J,47861,M,South East Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Pass,3.0,49.23,8757.0,43.57,201.0
FFF,2014J,52275,M,London Region,No Formal quals,0-10%,0-35,0,90,N,Fail,1.0,2.92,91.0,18.2,5.0
FFF,2014J,56637,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,90,Y,Distinction,1.0,80.08,5440.0,30.56,178.0
FFF,2014J,56667,M,Yorkshire Region,Lower Than A Level,40-50%,35-55,2,120,N,Fail,10.0,57.0,853.0,37.09,23.0
FFF,2014J,58884,M,South Region,A Level or Equivalent,40-50%,35-55,0,90,Y,Distinction,1.0,82.92,5248.0,29.65,177.0
FFF,2014J,63112,M,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Withdrawn,0.0,11.38,501.0,22.77,22.0
FFF,2014J,64427,M,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Distinction,0.0,81.46,5640.0,30.0,188.0
FFF,2014J,66892,M,London Region,A Level or Equivalent,20-30%,0-35,1,60,N,Withdrawn,1.0,5.08,329.0,19.35,17.0
