code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,late_submissions_in_module,avg_score_in_module,sum_clicks_in_module,avg_clicks_per_session,num_active_days
GGG,2013J,24391,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,30,N,Distinction,0.0,80.0,712.0,12.28,58.0
GGG,2013J,26023,M,North Western Region,Lower Than A Level,10-20%,35-55,0,30,N,Pass,0.0,79.2,786.0,9.36,84.0
GGG,2013J,32239,F,London Region,A Level or Equivalent,30-40%,0-35,0,30,N,Pass,0.0,64.5,620.0,12.16,51.0
GGG,2013J,35001,F,East Midlands Region,Lower Than A Level,70-80%,35-55,0,30,N,Fail,0.0,15.0,77.0,5.5,14.0
GGG,2013J,60405,F,Yorkshire Region,A Level or Equivalent,10-20%,35-55,0,30,N,Distinction,2.0,79.8,852.0,15.78,54.0
GGG,2013J,62975,M,South Region,Lower Than A Level,nan%,35-55,0,30,N,Fail,0.0,43.0,274.0,16.12,17.0
GGG,2013J,67182,F,South Region,A Level or Equivalent,80-90%,35-55,0,30,N,Pass,1.0,69.5,354.0,11.06,32.0
GGG,2013J,80448,F,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,30,N,Withdrawn,0.0,36.8,350.0,14.0,25.0
GGG,2013J,82341,F,South East Region,Lower Than A Level,90-100%,0-35,0,30,Y,Distinction,2.0,55.0,508.0,17.52,29.0
GGG,2013J,87929,F,London Region,A Level or Equivalent,50-60%,0-35,0,30,N,Pass,0.0,59.5,568.0,16.71,34.0
GGG,2013J,96117,F,London Region,A Level or Equivalent,30-40%,35-55,0,30,N,Pass,0.0,61.0,539.0,17.39,31.0
GGG,2013J,121056,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,30,N,Withdrawn,0.0,4.5,17.0,5.67,3.0
GGG,2013J,122459,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,90,N,Pass,0.0,62.6,270.0,14.21,19.0
GGG,2013J,122636,F,South East Region,Lower Than A Level,10-20%,0-35,0,30,N,Fail,0.0,4.5,110.0,6.11,18.0
GGG,2013J,122846,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,30,N,Pass,0.0,38.4,1051.0,17.52,60.0
GGG,2013J,122928,F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,30,N,Fail,0.0,44.6,184.0,23.0,8.0
GGG,2013J,129212,F,South Region,Lower Than A Level,80-90%,0-35,0,30,N,Distinction,1.0,65.9,1427.0,22.65,63.0
GGG,2013J,138710,M,East Midlands Region,A Level or Equivalent,60-70%,0-35,0,30,N,Pass,1.0,60.0,737.0,23.03,32.0
GGG,2013J,142990,M,South West Region,Lower Than A Level,20-30%,0-35,0,30,Y,Fail,2.0,15.5,135.0,13.5,10.0
GGG,2013J,155256,M,South East Region,A Level or Equivalent,30-40%,0-35,0,30,N,Distinction,0.0,83.0,407.0,17.7,23.0
GGG,2013J,156127,F,North Western Region,Lower Than A Level,0-10%,0-35,0,30,N,Fail,1.0,21.0,243.0,14.29,17.0
GGG,2013J,159484,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,30,N,Fail,2.0,35.0,101.0,14.43,7.0
GGG,2013J,164922,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,30,N,Pass,0.0,87.0,507.0,15.36,33.0
GGG,2013J,166183,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,30,Y,Fail,6.0,50.5,112.0,12.44,9.0
GGG,2013J,189664,F,West Midlands Region,Lower Than A Level,0-10%,35-55,0,30,Y,Pass,0.0,72.5,447.0,8.76,51.0
