code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,late_submissions_in_module,avg_score_in_module,sum_clicks_in_module,avg_clicks_per_session,num_active_days
GGG,2014B,24186,F,Yorkshire Region,Lower Than A Level,10-20%,0-35,0,30,Y,Pass,0.0,50.0,184.0,8.0,23.0
GGG,2014B,29985,F,South Region,Lower Than A Level,20-30%,0-35,0,30,N,Pass,0.0,64.7,760.0,14.62,52.0
GGG,2014B,31107,M,South West Region,Lower Than A Level,40-50%,35-55,0,30,N,Pass,0.0,80.3,3873.0,18.53,209.0
GGG,2014B,41414,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,30,Y,Pass,2.0,72.0,965.0,14.62,66.0
GGG,2014B,49123,M,Yorkshire Region,Lower Than A Level,50-60%,0-35,0,30,N,Pass,0.0,76.6,1362.0,21.97,62.0
GGG,2014B,64901,M,London Region,Lower Than A Level,10-20%,35-55,0,30,N,Pass,1.0,64.4,827.0,16.88,49.0
GGG,2014B,81754,F,North Western Region,A Level or Equivalent,10-20%,0-35,1,60,N,Withdrawn,0.0,16.8,310.0,9.12,34.0
GGG,2014B,96423,F,South East Region,Lower Than A Level,90-100%,0-35,0,30,N,Pass,0.0,74.5,589.0,13.7,43.0
GGG,2014B,109772,F,South Region,A Level or Equivalent,30-40%,0-35,0,30,N,Pass,0.0,72.5,199.0,15.31,13.0
GGG,2014B,112441,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,30,N,Pass,3.0,77.7,969.0,26.92,36.0
GGG,2014B,116319,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,30,N,Pass,2.0,74.5,276.0,46.0,6.0
GGG,2014B,118474,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,1,60,N,Distinction,0.0,71.1,474.0,12.47,38.0
GGG,2014B,119444,F,East Midlands Region,Lower Than A Level,20-30%,0-35,0,30,N,Pass,2.0,49.7,531.0,21.24,25.0
GGG,2014B,120611,M,South Region,A Level or Equivalent,20-30%,35-55,0,30,N,Fail,2.0,17.8,125.0,11.36,11.0
GGG,2014B,122337,F,London Region,Lower Than A Level,70-80%,35-55,0,30,N,Fail,0.0,23.4,634.0,16.68,38.0
GGG,2014B,124944,M,North Western Region,HE Qualification,50-60%,35-55,0,30,N,Pass,1.0,82.0,928.0,15.47,60.0
GGG,2014B,131820,F,West Midlands Region,Lower Than A Level,20-30%,0-35,0,30,N,Fail,1.0,24.5,168.0,14.0,12.0
GGG,2014B,133068,M,East Anglian Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,0.0,82.7,1235.0,15.83,78.0
GGG,2014B,134123,F,West Midlands Region,Lower Than A Level,10-20%,35-55,0,30,N,Pass,1.0,82.9,762.0,17.72,43.0
GGG,2014B,139329,F,East Anglian Region,Lower Than A Level,30-40%,0-35,1,60,Y,Pass,0.0,75.6,1131.0,16.63,68.0
GGG,2014B,145388,F,North Western Region,Lower Than A Level,50-60%,0-35,0,30,N,Fail,1.0,13.5,259.0,10.79,24.0
GGG,2014B,152671,F,North Region,A Level or Equivalent,40-50%,35-55,0,30,N,Distinction,2.0,75.1,381.0,20.05,19.0
GGG,2014B,159571,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,0,30,N,Fail,0.0,23.0,444.0,11.1,40.0
GGG,2014B,160479,F,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,30,N,Pass,0.0,68.1,429.0,21.45,20.0
GGG,2014B,160945,F,East Anglian Region,HE Qualification,30-40%,0-35,0,30,N,Pass,0.0,81.4,572.0,21.19,27.0
GGG,2014B,164211,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,30,N,Distinction,0.0,79.0,481.0,14.58,33.0
GGG,2014B,184137,F,South Region,A Level or Equivalent,50-60%,0-35,0,30,N,Distinction,0.0,67.1,238.0,14.88,16.0
GGG,2014B,203963,F,London Region,Lower Than A Level,80-90%,35-55,0,30,N,Pass,3.0,70.4,515.0,14.31,36.0
GGG,2014B,204738,M,North Western Region,HE Qualification,0-10%,35-55,0,90,N,Distinction,0.0,83.5,2105.0,18.15,116.0
GGG,2014B,245802,F,South East Region,A Level or Equivalent,10-20%,35-55,0,30,Y,Pass,1.0,72.5,859.0,19.52,44.0
GGG,2014B,254417,M,London Region,Lower Than A Level,90-100%,35-55,0,30,N,Fail,1.0,13.5,235.0,15.67,15.0
